CompChangeID,EmployeeID,EffectiveDate,PreviousSalary,NewSalary,ChangePercent,ChangeReason,Currency
1,E100001,2019-12-21,,41000,,New Hire,USD
2,E100002,2020-06-24,,53000,,New Hire,USD
3,E100003,2020-03-30,,88000,,New Hire,USD
4,E100004,2014-06-18,,37000,,New Hire,USD
5,E100005,2020-12-04,,109500,,New Hire,USD
6,E100006,2016-01-19,,156500,,New Hire,USD
7,E100007,2020-04-11,,138500,,New Hire,USD
8,E100008,2018-11-09,,59500,,New Hire,USD
9,E100009,2020-09-21,,86000,,New Hire,USD
10,E100010,2018-10-12,,60000,,New Hire,USD
11,E100011,2020-04-02,,55500,,New Hire,USD
12,E100012,2016-01-09,,115500,,New Hire,USD
13,E100013,2019-10-25,,68000,,New Hire,USD
14,E100014,2020-05-13,,124000,,New Hire,USD
15,E100015,2020-08-29,,99000,,New Hire,USD
16,E100016,2019-04-26,,21000,,New Hire,USD
17,E100017,2019-06-05,,67500,,New Hire,USD
18,E100018,2016-05-21,,102500,,New Hire,USD
19,E100019,2015-12-06,,138500,,New Hire,USD
20,E100020,2020-12-25,,65500,,New Hire,USD
21,E100021,2020-02-20,,80000,,New Hire,USD
22,E100022,2019-11-27,,101000,,New Hire,USD
23,E100023,2020-04-12,,58000,,New Hire,USD
24,E100024,2019-03-20,,89500,,New Hire,USD
25,E100025,2016-05-21,,203500,,New Hire,USD
26,E100026,2019-06-22,,80000,,New Hire,USD
27,E100027,2019-02-08,,47000,,New Hire,USD
28,E100028,2019-05-19,,67500,,New Hire,USD
29,E100029,2018-02-26,,75500,,New Hire,USD
30,E100030,2018-05-21,,83500,,New Hire,USD
31,E100031,2014-03-10,,161000,,New Hire,USD
32,E100032,2020-11-29,,66000,,New Hire,USD
33,E100033,2019-11-20,,126000,,New Hire,USD
34,E100034,2018-09-28,,59500,,New Hire,USD
35,E100035,2014-10-05,,118500,,New Hire,USD
36,E100036,2018-05-19,,61500,,New Hire,USD
37,E100037,2013-07-21,,133000,,New Hire,USD
38,E100038,2017-02-24,,57500,,New Hire,USD
39,E100039,2020-03-29,,78500,,New Hire,USD
40,E100040,2020-09-23,,22000,,New Hire,USD
41,E100041,2018-04-23,,51500,,New Hire,USD
42,E100042,2015-10-18,,60000,,New Hire,USD
43,E100043,2017-12-27,,103500,,New Hire,USD
44,E100044,2016-02-15,,117000,,New Hire,USD
45,E100045,2019-09-02,,130000,,New Hire,USD
46,E100046,2020-10-28,,91000,,New Hire,USD
47,E100047,2015-09-07,,79000,,New Hire,USD
48,E100048,2017-05-06,,77500,,New Hire,USD
49,E100049,2019-10-29,,74000,,New Hire,USD
50,E100050,2020-09-12,,94500,,New Hire,USD
51,E100051,2019-05-22,,72000,,New Hire,USD
52,E100052,2018-11-15,,174500,,New Hire,USD
53,E100053,2019-06-02,,68000,,New Hire,USD
54,E100054,2020-02-16,,125500,,New Hire,USD
55,E100055,2018-08-01,,47500,,New Hire,USD
56,E100056,2017-06-21,,157500,,New Hire,USD
57,E100057,2019-12-27,,108000,,New Hire,USD
58,E100058,2019-09-13,,106500,,New Hire,USD
59,E100059,2020-09-21,,95000,,New Hire,USD
60,E100060,2020-09-14,,72500,,New Hire,USD
61,E100061,2020-10-07,,49500,,New Hire,USD
62,E100062,2013-04-02,,64000,,New Hire,USD
63,E100063,2019-02-20,,29500,,New Hire,USD
64,E100064,2019-02-02,,44000,,New Hire,USD
65,E100065,2020-02-24,,75500,,New Hire,USD
66,E100066,2013-08-17,,31000,,New Hire,USD
67,E100067,2020-07-05,,53500,,New Hire,USD
68,E100068,2019-12-18,,116000,,New Hire,USD
69,E100069,2015-10-16,,164000,,New Hire,USD
70,E100070,2017-08-02,,66000,,New Hire,USD
71,E100071,2020-01-31,,65000,,New Hire,USD
72,E100072,2019-04-14,,58000,,New Hire,USD
73,E100073,2019-06-15,,132500,,New Hire,USD
74,E100074,2018-01-26,,75500,,New Hire,USD
75,E100075,2016-07-08,,134000,,New Hire,USD
76,E100076,2015-06-14,,117000,,New Hire,USD
77,E100077,2019-06-27,,32000,,New Hire,USD
78,E100078,2013-04-09,,125500,,New Hire,USD
79,E100079,2020-12-03,,93500,,New Hire,USD
80,E100080,2014-07-30,,113500,,New Hire,USD
81,E100081,2020-12-10,,69000,,New Hire,USD
82,E100082,2016-09-29,,61000,,New Hire,USD
83,E100083,2020-06-28,,61500,,New Hire,USD
84,E100084,2019-11-05,,117000,,New Hire,USD
85,E100085,2016-01-21,,69000,,New Hire,USD
86,E100086,2020-04-21,,24500,,New Hire,USD
87,E100087,2020-06-30,,61000,,New Hire,USD
88,E100088,2020-11-24,,24500,,New Hire,USD
89,E100089,2018-03-18,,73500,,New Hire,USD
90,E100090,2020-11-20,,142000,,New Hire,USD
91,E100091,2018-06-10,,93500,,New Hire,USD
92,E100092,2020-09-05,,75500,,New Hire,USD
93,E100093,2018-05-30,,70000,,New Hire,USD
94,E100094,2013-03-18,,77500,,New Hire,USD
95,E100095,2020-06-05,,58000,,New Hire,USD
96,E100096,2018-11-03,,100500,,New Hire,USD
97,E100097,2017-10-18,,102500,,New Hire,USD
98,E100098,2020-04-04,,72500,,New Hire,USD
99,E100099,2017-08-10,,62500,,New Hire,USD
100,E100100,2020-07-20,,70000,,New Hire,USD
101,E100101,2020-06-12,,131500,,New Hire,USD
102,E100102,2017-05-10,,135500,,New Hire,USD
103,E100103,2020-10-26,,72000,,New Hire,USD
104,E100104,2016-05-13,,82500,,New Hire,USD
105,E100105,2020-08-16,,29500,,New Hire,USD
106,E100106,2020-04-05,,102000,,New Hire,USD
107,E100107,2017-11-08,,104000,,New Hire,USD
108,E100108,2019-01-31,,93000,,New Hire,USD
109,E100109,2019-07-13,,70000,,New Hire,USD
110,E100110,2018-06-30,,126000,,New Hire,USD
111,E100111,2013-10-19,,50500,,New Hire,USD
112,E100112,2020-07-21,,34500,,New Hire,USD
113,E100113,2015-06-04,,76000,,New Hire,USD
114,E100114,2019-02-01,,28000,,New Hire,USD
115,E100115,2018-12-27,,79000,,New Hire,USD
116,E100116,2019-06-26,,128500,,New Hire,USD
117,E100117,2020-12-05,,45500,,New Hire,USD
118,E100118,2018-04-23,,51500,,New Hire,USD
119,E100119,2020-02-03,,74000,,New Hire,USD
120,E100120,2020-11-12,,67500,,New Hire,USD
121,E100121,2018-08-22,,113500,,New Hire,USD
122,E100122,2019-08-21,,31000,,New Hire,USD
123,E100123,2016-07-25,,121000,,New Hire,USD
124,E100124,2018-10-22,,177000,,New Hire,USD
125,E100125,2016-10-06,,121500,,New Hire,USD
126,E100126,2020-05-07,,149500,,New Hire,USD
127,E100127,2020-08-05,,124500,,New Hire,USD
128,E100128,2018-01-26,,148000,,New Hire,USD
129,E100129,2020-04-24,,43500,,New Hire,USD
130,E100130,2013-08-15,,54500,,New Hire,USD
