HireID,EmployeeID,HireDate,DepartmentKey,JobKey,LocationKey,RequisitionID,SourceChannel,TimeToFillDays
1,E100641,2021-02-28,1,1001,5,R500001,Company Website,27
2,E100642,2021-02-09,2,1008,1,R500002,Recruiting Agency,46
3,E100643,2021-02-21,3,1018,5,R500003,Recruiting Agency,35
4,E100644,2021-02-02,4,1021,1,R500004,Job Board,32
5,E100645,2021-02-16,5,1027,1,R500005,Career Fair,34
6,E100646,2021-02-24,7,1037,2,R500006,University Recruiting,49
7,E100647,2021-02-14,9,1048,3,R500007,LinkedIn,33
8,E100648,2021-03-15,3,1013,2,R500008,Company Website,42
9,E100649,2021-03-01,5,1024,1,R500009,Career Fair,48
10,E100650,2021-03-14,5,1026,1,R500010,LinkedIn,30
11,E100651,2021-03-03,8,1041,3,R500011,Career Fair,46
12,E100652,2021-03-07,10,1049,6,R500012,University Recruiting,39
13,E100653,2021-04-06,1,1003,3,R500013,Career Fair,43
14,E100654,2021-04-24,1,1001,3,R500014,Employee Referral,34
15,E100655,2021-04-19,3,1014,4,R500015,Employee Referral,13
16,E100656,2021-04-25,3,1013,3,R500016,Career Fair,28
17,E100657,2021-04-24,5,1028,6,R500017,Career Fair,29
18,E100658,2021-04-24,8,1041,2,R500018,University Recruiting,10
19,E100659,2021-04-06,10,1049,1,R500019,Job Board,28
20,E100660,2021-05-23,1,1006,4,R500020,Career Fair,34
21,E100661,2021-05-23,1,1007,1,R500021,Company Website,19
22,E100662,2021-05-03,3,1013,6,R500022,Job Board,25
23,E100663,2021-05-26,3,1015,1,R500023,Job Board,24
24,E100664,2021-05-02,5,1025,3,R500024,LinkedIn,34
25,E100665,2021-05-21,5,1025,3,R500025,LinkedIn,38
26,E100666,2021-05-25,10,1049,2,R500026,Company Website,42
27,E100667,2021-06-28,1,1001,1,R500027,Job Board,37
28,E100668,2021-06-21,3,1013,1,R500028,LinkedIn,56
29,E100669,2021-06-16,3,1014,1,R500029,Career Fair,19
30,E100670,2021-06-12,3,1016,1,R500030,LinkedIn,48
31,E100671,2021-06-01,3,1014,2,R500031,LinkedIn,42
32,E100672,2021-06-14,4,1020,1,R500032,Employee Referral,37
33,E100673,2021-06-05,5,1025,5,R500033,LinkedIn,41
34,E100674,2021-06-02,5,1024,2,R500034,Career Fair,38
35,E100675,2021-07-18,1,1000,1,R500035,Employee Referral,13
36,E100676,2021-07-20,2,1010,3,R500036,LinkedIn,44
37,E100677,2021-07-19,3,1013,5,R500037,University Recruiting,42
38,E100678,2021-07-04,3,1013,1,R500038,Company Website,38
39,E100679,2021-07-26,5,1028,2,R500039,Company Website,22
40,E100680,2021-07-20,5,1026,5,R500040,Job Board,47
