LeaveID,EmployeeID,LeaveType,LeaveStartDate,ExpectedReturnDate,ActualReturnDate,LeaveStatus
1,E101126,Personal Leave,2026-06-18,2026-10-14,,On Leave
2,E100414,Bereavement Leave,2026-07-20,2026-09-13,,On Leave
3,E101239,Military Leave,2026-06-26,2026-10-04,,On Leave
4,E100920,Personal Leave,2026-06-25,2026-10-23,,On Leave
5,E100692,Personal Leave,2026-08-11,2026-12-09,,On Leave
6,E100417,Bereavement Leave,2026-07-24,2026-09-05,,On Leave
7,E100636,Military Leave,2026-07-23,2026-09-23,,On Leave
8,E100585,Parental Leave,2026-05-27,2026-08-28,,On Leave
9,E100694,Parental Leave,2026-08-08,2026-08-28,,On Leave
10,E100055,Personal Leave,2026-08-06,2026-08-26,,On Leave
11,E100677,Sabbatical,2026-08-09,2026-10-13,,On Leave
12,E100623,Personal Leave,2026-08-11,2026-10-04,,On Leave
13,E100916,Sabbatical,2026-08-04,2026-08-25,,On Leave
14,E100985,Medical Leave,2026-08-02,2026-09-12,,On Leave
15,E100530,Medical Leave,2026-06-28,2026-08-31,,On Leave
16,E100017,Personal Leave,2026-07-25,2026-09-16,,On Leave
17,E100618,Medical Leave,2026-06-17,2026-09-11,,On Leave
18,E101022,Parental Leave,2026-08-07,2026-08-27,,On Leave
19,E101217,Parental Leave,2026-06-27,2026-11-03,,On Leave
20,E100599,Sabbatical,2026-08-07,2026-10-20,,On Leave
21,E100848,Medical Leave,2026-06-28,2026-10-19,,On Leave
22,E100462,Parental Leave,2026-08-12,2026-09-01,,On Leave
23,E100899,Medical Leave,2026-08-06,2026-09-08,,On Leave
24,E100338,Parental Leave,2026-07-07,2026-08-27,,On Leave
25,E100431,Parental Leave,2026-07-10,2026-08-25,,On Leave
26,E100259,Medical Leave,2026-04-15,2026-08-24,,On Leave
27,E100634,Personal Leave,2026-08-05,2026-09-29,,On Leave
28,E100490,Medical Leave,2026-08-05,2026-10-30,,On Leave
29,E100300,Medical Leave,2026-05-27,2026-10-06,,On Leave
30,E100069,Parental Leave,2026-08-01,2026-09-01,,On Leave
31,E100105,Personal Leave,2026-08-09,2026-08-29,,On Leave
32,E100026,Medical Leave,2026-04-22,2026-08-31,,On Leave
33,E100598,Bereavement Leave,2026-07-19,2026-10-15,,On Leave
34,E101182,Bereavement Leave,2026-08-10,2026-09-03,,On Leave
35,E100563,Personal Leave,2026-08-07,2026-10-01,,On Leave
36,E100170,Medical Leave,2026-06-03,2026-09-19,,On Leave
37,E100147,Medical Leave,2026-08-12,2026-12-05,,On Leave
38,E101158,Medical Leave,2026-07-25,2026-10-06,,On Leave
39,E101146,Personal Leave,2026-08-09,2026-10-23,,On Leave
40,E101218,Parental Leave,2026-06-13,2026-10-14,,On Leave
41,E100244,Parental Leave,2026-05-29,2026-09-23,,On Leave
42,E101213,Bereavement Leave,2026-06-23,2026-09-19,,On Leave
43,E100489,Sabbatical,2026-08-10,2026-09-25,,On Leave
44,E100932,Medical Leave,2026-08-08,2026-10-18,,On Leave
45,E100089,Medical Leave,2026-08-01,2026-10-04,,On Leave
46,E100172,Sabbatical,2026-08-05,2026-08-25,,On Leave
47,E100520,Medical Leave,2026-07-01,2026-09-16,,On Leave
48,E100174,Sabbatical,2026-08-07,2026-08-27,,On Leave
49,E100513,Medical Leave,2026-07-12,2026-10-04,,On Leave
50,E100517,Parental Leave,2026-08-08,2026-08-28,,On Leave
51,E100969,Bereavement Leave,2026-08-01,2026-11-14,,On Leave
52,E100537,Bereavement Leave,2026-08-13,2026-10-23,,On Leave
53,E101064,Medical Leave,2026-07-28,2026-08-30,,On Leave
54,E101172,Parental Leave,2026-08-11,2026-09-13,,On Leave
55,E101230,Medical Leave,2026-07-04,2026-09-06,,On Leave
56,E100864,Sabbatical,2026-07-27,2026-10-18,,On Leave
57,E101184,Personal Leave,2026-04-09,2026-09-04,,On Leave
58,E100734,Bereavement Leave,2026-07-14,2026-09-18,,On Leave
59,E100754,Medical Leave,2026-07-17,2026-09-02,,On Leave
60,E101224,Parental Leave,2026-07-29,2026-08-24,,On Leave
61,E100819,Medical Leave,2026-06-28,2026-09-19,,On Leave
62,E101150,Parental Leave,2026-08-05,2026-12-28,,On Leave
63,E100129,Medical Leave,2026-07-18,2026-09-19,,On Leave
64,E100014,Personal Leave,2026-05-09,2026-08-31,,On Leave
65,E101173,Medical Leave,2026-07-09,2026-09-01,,On Leave
66,E101260,Bereavement Leave,2026-08-13,2026-11-27,,On Leave
67,E101223,Parental Leave,2026-06-03,2026-08-28,,On Leave
68,E100375,Personal Leave,2026-08-06,2026-09-13,,On Leave
69,E100497,Parental Leave,2026-07-22,2026-09-24,,On Leave
70,E100235,Medical Leave,2026-05-02,2026-08-28,,On Leave
71,E101148,Medical Leave,2026-07-11,2026-09-21,,On Leave
72,E100299,Personal Leave,2026-06-07,2026-09-24,,On Leave
73,E101010,Medical Leave,2026-06-25,2026-12-22,,On Leave
74,E100312,Parental Leave,2026-07-22,2026-08-31,,On Leave
75,E101051,Bereavement Leave,2026-07-16,2026-10-13,,On Leave
76,E101078,Medical Leave,2026-07-31,2026-10-16,,On Leave
77,E100095,Bereavement Leave,2026-08-12,2026-09-01,,On Leave
78,E100036,Military Leave,2026-05-30,2026-08-29,,On Leave
79,E100928,Personal Leave,2026-07-30,2026-08-31,,On Leave
80,E100935,Personal Leave,2026-06-12,2026-09-04,,On Leave
81,E101195,Medical Leave,2026-07-10,2026-10-18,,On Leave
82,E101236,Medical Leave,2026-08-11,2026-10-16,,On Leave
83,E101083,Sabbatical,2026-08-10,2026-09-07,,On Leave
84,E101006,Sabbatical,2026-08-04,2026-10-18,,On Leave
85,E101116,Personal Leave,2026-07-27,2026-08-24,,On Leave
86,E100637,Parental Leave,2026-07-30,2026-09-07,,On Leave
87,E100486,Medical Leave,2026-08-09,2026-10-01,,On Leave
88,E100395,Sabbatical,2026-05-13,2026-08-25,,On Leave
89,E101206,Personal Leave,2026-06-01,2026-09-27,,On Leave
90,E100615,Sabbatical,2026-08-08,2026-08-30,,On Leave
91,E101197,Medical Leave,2026-08-06,2026-09-20,,On Leave
92,E100226,Medical Leave,2026-06-14,2026-08-26,,On Leave
93,E100871,Military Leave,2026-06-14,2026-08-29,,On Leave
94,E100224,Medical Leave,2026-07-14,2026-09-14,,On Leave
95,E100738,Sabbatical,2026-07-01,2026-10-05,,On Leave
96,E101238,Military Leave,2026-08-05,2026-11-20,,On Leave
97,E101203,Personal Leave,2026-08-07,2026-08-27,,On Leave
98,E101115,Personal Leave,2026-08-11,2026-10-10,,On Leave
99,E100824,Parental Leave,2026-07-27,2026-08-26,,On Leave
100,E101106,Bereavement Leave,2026-07-05,2026-11-06,,On Leave
101,E101102,Parental Leave,2026-07-29,2026-09-30,,On Leave
102,E101183,Personal Leave,2026-07-23,2026-09-10,,On Leave
103,E100251,Parental Leave,2026-07-24,2026-09-05,,On Leave
104,E100587,Sabbatical,2026-07-07,2026-09-28,,On Leave
105,E100108,Bereavement Leave,2026-07-02,2026-09-27,,On Leave
