ReviewID,EmployeeID,ReviewPeriod,ReviewDate,Rating,RatingLabel,GoalAchievementPct,PromotionRecommended,ManagerEmployeeID
1,E100001,2021 H1,2021-06-15,4,Exceeds Expectations,85,True,E100073
2,E100001,2021 H2,2021-12-15,4,Exceeds Expectations,80,False,E100073
3,E100001,2022 H1,2022-06-15,4,Exceeds Expectations,61,False,E100073
4,E100001,2022 H2,2022-12-15,2,Needs Improvement,46,False,E100073
5,E100001,2023 H1,2023-06-15,4,Exceeds Expectations,73,False,E100073
6,E100001,2023 H2,2023-12-15,3,Meets Expectations,50,False,E100073
7,E100001,2024 H1,2024-06-15,5,Outstanding,81,False,E100073
8,E100001,2024 H2,2024-12-15,3,Meets Expectations,46,False,E100073
9,E100001,2025 H1,2025-06-15,2,Needs Improvement,37,False,E100073
10,E100001,2025 H2,2025-12-15,4,Exceeds Expectations,61,False,E100073
11,E100001,2026 H1,2026-06-15,3,Meets Expectations,42,False,E100073
12,E100002,2021 H1,2021-06-15,4,Exceeds Expectations,67,False,E100110
13,E100002,2021 H2,2021-12-15,1,Unsatisfactory,30,False,E100110
14,E100002,2022 H1,2022-06-15,4,Exceeds Expectations,83,False,E100110
15,E100002,2022 H2,2022-12-15,4,Exceeds Expectations,62,True,E100110
16,E100002,2023 H1,2023-06-15,2,Needs Improvement,30,False,E100110
17,E100002,2023 H2,2023-12-15,4,Exceeds Expectations,81,True,E100110
18,E100002,2024 H1,2024-06-15,3,Meets Expectations,65,False,E100110
19,E100002,2024 H2,2024-12-15,4,Exceeds Expectations,67,False,E100110
20,E100002,2025 H1,2025-06-15,3,Meets Expectations,41,False,E100110
21,E100002,2025 H2,2025-12-15,3,Meets Expectations,47,False,E100110
22,E100002,2026 H1,2026-06-15,2,Needs Improvement,30,False,E100110
23,E100003,2021 H1,2021-06-15,5,Outstanding,85,False,E100124
24,E100003,2021 H2,2021-12-15,5,Outstanding,90,True,E100124
25,E100003,2022 H1,2022-06-15,3,Meets Expectations,59,False,E100124
26,E100003,2022 H2,2022-12-15,1,Unsatisfactory,38,False,E100124
27,E100003,2023 H1,2023-06-15,4,Exceeds Expectations,74,False,E100124
28,E100003,2023 H2,2023-12-15,4,Exceeds Expectations,72,False,E100124
29,E100003,2024 H1,2024-06-15,3,Meets Expectations,53,False,E100124
30,E100003,2024 H2,2024-12-15,3,Meets Expectations,45,False,E100124
31,E100003,2025 H1,2025-06-15,3,Meets Expectations,56,False,E100124
32,E100003,2025 H2,2025-12-15,4,Exceeds Expectations,86,False,E100124
33,E100003,2026 H1,2026-06-15,3,Meets Expectations,46,False,E100124
34,E100004,2021 H1,2021-06-15,2,Needs Improvement,40,False,E100078
35,E100004,2021 H2,2021-12-15,5,Outstanding,86,False,E100078
36,E100004,2022 H1,2022-06-15,3,Meets Expectations,62,False,E100078
37,E100004,2022 H2,2022-12-15,2,Needs Improvement,52,False,E100078
38,E100004,2023 H1,2023-06-15,3,Meets Expectations,57,False,E100078
39,E100004,2023 H2,2023-12-15,3,Meets Expectations,30,False,E100078
40,E100004,2024 H1,2024-06-15,3,Meets Expectations,50,False,E100078
41,E100004,2024 H2,2024-12-15,4,Exceeds Expectations,83,True,E100078
42,E100005,2021 H1,2021-06-15,4,Exceeds Expectations,65,True,E100019
43,E100005,2021 H2,2021-12-15,5,Outstanding,90,True,E100019
44,E100005,2022 H1,2022-06-15,5,Outstanding,98,False,E100019
45,E100005,2022 H2,2022-12-15,3,Meets Expectations,64,False,E100019
46,E100005,2023 H1,2023-06-15,4,Exceeds Expectations,72,False,E100019
47,E100005,2023 H2,2023-12-15,3,Meets Expectations,62,False,E100019
48,E100005,2024 H1,2024-06-15,4,Exceeds Expectations,67,False,E100019
49,E100005,2024 H2,2024-12-15,4,Exceeds Expectations,68,False,E100019
50,E100005,2025 H1,2025-06-15,3,Meets Expectations,58,False,E100019
51,E100005,2025 H2,2025-12-15,4,Exceeds Expectations,77,False,E100019
52,E100005,2026 H1,2026-06-15,3,Meets Expectations,42,False,E100019
53,E100006,2021 H1,2021-06-15,3,Meets Expectations,57,False,E100031
54,E100006,2021 H2,2021-12-15,5,Outstanding,80,True,E100031
55,E100006,2022 H1,2022-06-15,3,Meets Expectations,52,False,E100031
56,E100006,2022 H2,2022-12-15,1,Unsatisfactory,30,False,E100031
57,E100006,2023 H1,2023-06-15,2,Needs Improvement,31,False,E100031
58,E100006,2023 H2,2023-12-15,5,Outstanding,96,False,E100031
59,E100006,2024 H1,2024-06-15,4,Exceeds Expectations,91,False,E100031
60,E100006,2024 H2,2024-12-15,5,Outstanding,81,False,E100031
61,E100006,2025 H1,2025-06-15,2,Needs Improvement,30,False,E100031
62,E100006,2025 H2,2025-12-15,3,Meets Expectations,48,False,E100031
63,E100007,2021 H1,2021-06-15,5,Outstanding,102,False,E100036
