RequisitionID,DepartmentKey,JobKey,LocationKey,OpenDate,CloseDate,RequisitionStatus,ApplicantsCount,ScreenedCount,InterviewedCount,OfferedCount,HiredCount,TimeToFillDays,SourceChannel
R500001,1,1001,5,2021-02-01,2021-02-28,Filled,74,40,14,3,1,27,Company Website
R500002,2,1008,1,2020-12-25,2021-02-09,Filled,93,42,14,4,1,46,Recruiting Agency
R500003,3,1018,5,2021-01-17,2021-02-21,Filled,43,23,8,2,1,35,Recruiting Agency
R500004,4,1021,1,2021-01-01,2021-02-02,Filled,74,28,8,2,1,32,Job Board
R500005,5,1027,1,2021-01-13,2021-02-16,Filled,58,26,6,2,1,34,Career Fair
R500006,7,1037,2,2021-01-06,2021-02-24,Filled,43,21,6,1,1,49,University Recruiting
R500007,9,1048,3,2021-01-12,2021-02-14,Filled,48,23,9,1,1,33,LinkedIn
R500008,3,1013,2,2021-02-01,2021-03-15,Filled,30,14,4,1,1,42,Company Website
R500009,5,1024,1,2021-01-12,2021-03-01,Filled,57,20,5,1,1,48,Career Fair
R500010,5,1026,1,2021-02-12,2021-03-14,Filled,34,18,7,1,1,30,LinkedIn
R500011,8,1041,3,2021-01-16,2021-03-03,Filled,27,12,4,1,1,46,Career Fair
R500012,10,1049,6,2021-01-27,2021-03-07,Filled,45,21,8,1,1,39,University Recruiting
R500013,1,1003,3,2021-02-22,2021-04-06,Filled,44,22,7,1,1,43,Career Fair
R500014,1,1001,3,2021-03-21,2021-04-24,Filled,53,23,6,1,1,34,Employee Referral
R500015,3,1014,4,2021-04-06,2021-04-19,Filled,55,29,12,2,1,13,Employee Referral
R500016,3,1013,3,2021-03-28,2021-04-25,Filled,17,7,1,1,1,28,Career Fair
R500017,5,1028,6,2021-03-26,2021-04-24,Filled,40,18,7,1,1,29,Career Fair
R500018,8,1041,2,2021-04-14,2021-04-24,Filled,51,27,8,2,1,10,University Recruiting
R500019,10,1049,1,2021-03-09,2021-04-06,Filled,44,19,8,1,1,28,Job Board
R500020,1,1006,4,2021-04-19,2021-05-23,Filled,26,14,5,1,1,34,Career Fair
R500021,1,1007,1,2021-05-04,2021-05-23,Filled,69,24,10,2,1,19,Company Website
R500022,3,1013,6,2021-04-08,2021-05-03,Filled,46,16,4,1,1,25,Job Board
R500023,3,1015,1,2021-05-02,2021-05-26,Filled,62,26,10,2,1,24,Job Board
R500024,5,1025,3,2021-03-29,2021-05-02,Filled,45,24,10,1,1,34,LinkedIn
R500025,5,1025,3,2021-04-13,2021-05-21,Filled,54,25,6,1,1,38,LinkedIn
R500026,10,1049,2,2021-04-13,2021-05-25,Filled,41,14,5,1,1,42,Company Website
R500027,1,1001,1,2021-05-22,2021-06-28,Filled,15,6,1,1,1,37,Job Board
R500028,3,1013,1,2021-04-26,2021-06-21,Filled,26,9,2,1,1,56,LinkedIn
R500029,3,1014,1,2021-05-28,2021-06-16,Filled,18,8,2,1,1,19,Career Fair
R500030,3,1016,1,2021-04-25,2021-06-12,Filled,14,5,1,1,1,48,LinkedIn
R500031,3,1014,2,2021-04-20,2021-06-01,Filled,8,3,1,1,1,42,LinkedIn
R500032,4,1020,1,2021-05-08,2021-06-14,Filled,28,10,3,1,1,37,Employee Referral
R500033,5,1025,5,2021-04-25,2021-06-05,Filled,73,29,8,2,1,41,LinkedIn
R500034,5,1024,2,2021-04-25,2021-06-02,Filled,77,30,8,1,1,38,Career Fair
R500035,1,1000,1,2021-07-05,2021-07-18,Filled,59,31,10,2,1,13,Employee Referral
R500036,2,1010,3,2021-06-06,2021-07-20,Filled,50,22,9,3,1,44,LinkedIn
R500037,3,1013,5,2021-06-07,2021-07-19,Filled,91,39,15,3,1,42,University Recruiting
R500038,3,1013,1,2021-05-27,2021-07-04,Filled,21,10,2,1,1,38,Company Website
R500039,5,1028,2,2021-07-04,2021-07-26,Filled,52,19,7,1,1,22,Company Website
R500040,5,1026,5,2021-06-03,2021-07-20,Filled,84,30,9,2,1,47,Job Board
R500041,10,1052,3,2021-06-16,2021-07-11,Filled,60,30,11,3,1,25,Career Fair
R500042,1,1004,1,2021-06-27,2021-08-08,Filled,48,20,8,2,1,42,University Recruiting
R500043,1,1003,4,2021-07-05,2021-08-08,Filled,29,11,4,1,1,34,Employee Referral
R500044,2,1010,6,2021-06-28,2021-08-14,Filled,76,32,8,1,1,47,Career Fair
R500045,2,1010,5,2021-06-13,2021-08-04,Filled,53,24,10,1,1,52,Recruiting Agency
R500046,2,1011,5,2021-07-23,2021-08-25,Filled,103,49,21,4,1,33,LinkedIn
R500047,3,1013,5,2021-07-01,2021-08-06,Filled,27,13,3,1,1,36,LinkedIn
R500048,3,1013,5,2021-07-19,2021-08-27,Filled,51,24,8,1,1,39,Career Fair
R500049,5,1026,1,2021-06-28,2021-08-01,Filled,8,2,0,1,1,34,Career Fair
R500050,5,1028,3,2021-06-30,2021-08-16,Filled,39,19,4,1,1,47,Employee Referral
R500051,1,1001,1,2021-07-27,2021-09-07,Filled,51,21,6,1,1,42,Job Board
R500052,1,1005,3,2021-08-13,2021-09-26,Filled,39,19,6,1,1,44,LinkedIn
R500053,1,1000,3,2021-09-08,2021-09-21,Filled,71,36,11,2,1,13,Career Fair
