TerminationID,EmployeeID,TerminationDate,DepartmentKey,JobKey,LocationKey,TerminationType,TerminationReason,TenureMonthsAtExit,RegrettedLoss
1,E100258,2021-02-04,3,1018,6,Voluntary,Relocation,64.1,False
2,E100432,2021-02-11,5,1028,4,Involuntary,Restructuring,47.9,False
3,E100450,2021-02-21,5,1026,1,Voluntary,Compensation,46.1,True
4,E100531,2021-02-01,7,1038,1,Involuntary,Position Eliminated,8.4,False
5,E100028,2021-03-05,1,1006,1,Involuntary,Restructuring,21.6,False
6,E100177,2021-03-13,2,1010,4,Voluntary,Return to Education,24.0,False
7,E100294,2021-03-07,3,1014,3,Voluntary,Personal Reasons,12.5,False
8,E100447,2021-03-28,5,1024,2,Voluntary,Career Change,23.7,True
9,E100468,2021-03-16,5,1027,2,Voluntary,Return to Education,70.0,True
10,E100481,2021-03-21,6,1031,5,Voluntary,Relocation,97.5,False
11,E100591,2021-03-28,10,1050,3,Involuntary,Restructuring,21.0,False
12,E100638,2021-03-11,10,1050,5,Voluntary,Did Not Return from Leave,7.3,False
13,E100194,2021-04-23,3,1017,1,Involuntary,Position Eliminated,62.9,False
14,E100215,2021-04-07,3,1014,5,Voluntary,Better Opportunity,6.5,False
15,E100266,2021-04-03,3,1017,4,Voluntary,Did Not Return from Leave,34.2,False
16,E100442,2021-04-22,5,1024,1,Involuntary,Policy Violation,13.3,False
17,E100524,2021-04-09,7,1037,1,Voluntary,Personal Reasons,8.0,True
18,E100610,2021-04-22,10,1053,5,Voluntary,Better Opportunity,13.4,False
19,E100096,2021-05-12,1,1007,4,Involuntary,Policy Violation,30.3,False
20,E100123,2021-05-24,1,1004,2,Voluntary,Career Change,58.0,False
21,E100199,2021-05-09,3,1018,4,Voluntary,Personal Reasons,21.0,False
22,E100254,2021-05-22,3,1017,1,Voluntary,Did Not Return from Leave,62.9,False
23,E100280,2021-05-03,3,1013,3,Voluntary,Did Not Return from Leave,12.1,False
24,E100330,2021-05-20,4,1022,3,Voluntary,Return to Education,22.3,False
25,E100369,2021-05-08,5,1024,3,Involuntary,Position Eliminated,41.0,False
26,E100409,2021-05-08,5,1028,4,Involuntary,Restructuring,6.9,False
27,E100456,2021-05-05,5,1025,2,Voluntary,Did Not Return from Leave,19.6,True
28,E100580,2021-05-03,9,1047,4,Involuntary,Position Eliminated,25.8,False
29,E100608,2021-05-06,10,1051,2,Voluntary,Did Not Return from Leave,45.4,False
30,E100208,2021-06-27,3,1015,4,Involuntary,Restructuring,21.3,False
31,E100211,2021-06-16,3,1013,1,Involuntary,Position Eliminated,5.6,False
32,E100253,2021-06-03,3,1013,5,Voluntary,Career Change,27.8,True
33,E100273,2021-06-25,3,1013,5,Voluntary,Did Not Return from Leave,18.4,False
34,E100304,2021-06-02,3,1016,6,Voluntary,Did Not Return from Leave,48.0,False
35,E100364,2021-06-07,4,1019,2,Voluntary,Personal Reasons,9.8,True
36,E100657,2021-06-25,5,1028,6,Voluntary,Better Opportunity,2.0,True
37,E100114,2021-07-16,1,1001,5,Voluntary,Did Not Return from Leave,29.4,False
38,E100118,2021-07-18,1,1000,6,Voluntary,Retirement,38.8,False
39,E100171,2021-07-01,2,1008,1,Voluntary,Personal Reasons,7.1,True
40,E100642,2021-07-22,2,1008,1,Voluntary,Career Change,5.4,False
41,E100263,2021-07-02,3,1014,1,Voluntary,Return to Education,8.8,False
42,E100399,2021-07-18,5,1027,6,Involuntary,Policy Violation,10.0,False
43,E100420,2021-07-21,5,1024,2,Voluntary,Retirement,25.9,False
44,E100438,2021-07-16,5,1024,1,Involuntary,Restructuring,11.3,False
45,E100665,2021-07-15,5,1025,3,Voluntary,Career Change,1.8,False
46,E100632,2021-07-23,10,1049,2,Involuntary,Position Eliminated,46.8,False
47,E100088,2021-08-03,1,1000,5,Voluntary,Return to Education,8.3,False
48,E100107,2021-08-08,1,1004,6,Voluntary,Return to Education,45.0,False
49,E100186,2021-08-02,2,1009,6,Voluntary,Career Change,29.0,False
50,E100331,2021-08-24,4,1022,1,Voluntary,Return to Education,23.7,True
51,E100418,2021-08-09,5,1028,4,Voluntary,Retirement,29.9,False
52,E100543,2021-08-24,8,1042,3,Voluntary,Compensation,61.0,False
53,E100385,2021-09-25,5,1025,4,Voluntary,Did Not Return from Leave,29.8,False
54,E100288,2021-10-15,3,1018,3,Involuntary,Policy Violation,55.1,False
55,E100310,2021-10-16,4,1022,1,Voluntary,Did Not Return from Leave,17.8,False
56,E100332,2021-10-15,4,1019,4,Voluntary,Compensation,38.0,False
57,E100392,2021-10-07,5,1028,2,Voluntary,Return to Education,47.5,False
58,E100463,2021-10-23,5,1025,1,Voluntary,Did Not Return from Leave,15.0,False
59,E100494,2021-10-08,6,1030,3,Voluntary,Career Change,102.6,False
60,E100627,2021-10-10,10,1050,6,Voluntary,Relocation,25.9,False
61,E100080,2021-11-05,1,1003,1,Voluntary,Did Not Return from Leave,87.2,False
62,E100161,2021-11-25,2,1008,1,Voluntary,Did Not Return from Leave,31.0,False
63,E100275,2021-11-28,3,1018,1,Voluntary,Compensation,14.6,True
64,E100378,2021-11-06,5,1026,2,Involuntary,Performance,11.3,False
65,E100415,2021-11-09,5,1027,1,Involuntary,Performance,50.2,False
66,E100444,2021-11-28,5,1028,1,Voluntary,Did Not Return from Leave,12.8,False
67,E100460,2021-11-21,5,1024,1,Involuntary,Policy Violation,16.7,False
68,E100461,2021-11-12,5,1027,6,Involuntary,Policy Violation,45.0,False
69,E100019,2021-12-15,1,1005,2,Involuntary,Performance,72.3,False
70,E100150,2021-12-14,2,1012,1,Voluntary,Retirement,53.3,True
71,E100159,2021-12-14,2,1011,2,Voluntary,Did Not Return from Leave,55.8,True
72,E100197,2021-12-15,3,1017,3,Voluntary,Did Not Return from Leave,28.2,True
73,E100202,2021-12-14,3,1014,5,Voluntary,Better Opportunity,27.0,False
74,E100206,2021-12-25,3,1017,1,Voluntary,Did Not Return from Leave,19.0,False
75,E100220,2021-12-28,3,1018,2,Voluntary,Did Not Return from Leave,15.9,True
76,E100243,2021-12-05,3,1014,6,Voluntary,Did Not Return from Leave,12.4,False
77,E100671,2021-12-18,3,1014,2,Involuntary,Restructuring,6.6,False
78,E100380,2021-12-12,5,1025,3,Voluntary,Did Not Return from Leave,34.0,True
79,E100390,2021-12-12,5,1026,1,Voluntary,Relocation,29.5,True
80,E100428,2021-12-06,5,1028,4,Involuntary,Position Eliminated,42.0,False
81,E100441,2021-12-04,5,1028,5,Voluntary,Better Opportunity,31.5,True
82,E100443,2021-12-27,5,1024,1,Voluntary,Did Not Return from Leave,29.7,True
83,E100452,2021-12-26,5,1026,1,Voluntary,Retirement,13.3,False
84,E100649,2021-12-02,5,1024,1,Voluntary,Did Not Return from Leave,9.1,True
85,E100673,2021-12-08,5,1025,5,Voluntary,Career Change,6.1,False
86,E100475,2021-12-05,6,1029,4,Involuntary,Restructuring,33.7,False
87,E100593,2021-12-10,10,1053,5,Voluntary,Did Not Return from Leave,24.1,False
88,E100603,2021-12-12,10,1053,2,Involuntary,Position Eliminated,12.0,False
89,E100201,2022-01-14,3,1018,5,Voluntary,Did Not Return from Leave,40.3,True
90,E100290,2022-01-03,3,1016,2,Voluntary,Retirement,19.6,True
91,E100298,2022-01-06,3,1013,6,Voluntary,Retirement,19.2,False
92,E100340,2022-01-23,4,1022,1,Voluntary,Relocation,16.2,True
93,E100401,2022-01-23,5,1028,2,Involuntary,Policy Violation,36.9,False
94,E100725,2022-01-15,5,1026,4,Voluntary,Better Opportunity,1.1,False
95,E100512,2022-01-12,7,1038,1,Involuntary,Performance,58.8,False
96,E100597,2022-01-09,10,1050,1,Voluntary,Relocation,13.3,False
97,E100010,2022-02-26,1,1001,3,Involuntary,Position Eliminated,40.5,False
