SnapshotDateKey,EmployeeID,DepartmentKey,JobKey,LocationKey,ManagerEmployeeID,JobLevel,HeadcountCount,TenureMonths,CurrentSalary,EmploymentStatusAtSnapshot,IsOnLeave
20230131,E000001,10,999,1,,7,1,120.9,285000,Active,False
20230131,E100001,1,1007,5,E100073,4,1,37.4,54000,Active,False
20230131,E100002,1,1000,1,E100110,2,1,31.2,78000,Active,False
20230131,E100003,1,1002,3,E100124,4,1,34.1,107500,Active,False
20230131,E100004,1,1007,5,E100078,4,1,103.4,62000,Active,False
20230131,E100005,1,1007,1,E100019,4,1,25.9,156000,Active,False
20230131,E100006,1,1005,6,E100031,6,1,84.4,278000,Active,False
20230131,E100007,1,1003,1,E100036,5,1,33.7,180000,Active,False
20230131,E100008,1,1001,1,E100123,3,1,50.7,84000,Active,False
20230131,E100009,1,1005,5,E100031,6,1,28.3,90000,Active,False
20230131,E100011,1,1000,6,E100045,2,1,34.0,62500,Active,False
20230131,E100012,1,1003,1,E100031,5,1,84.7,194000,Active,False
20230131,E100013,1,1001,1,E100006,3,1,39.2,80000,Active,False
20230131,E100014,1,1003,2,E100045,5,1,32.6,149500,Active,False
20230131,E100015,1,1003,6,E100044,5,1,29.1,113500,Active,False
20230131,E100017,1,1001,4,E100044,3,1,43.9,81000,Active,False
20230131,E100018,1,1002,4,E100044,4,1,80.4,161500,Active,False
20230131,E100020,1,1000,4,E100036,2,1,25.2,82000,Active,False
20230131,E100021,1,1006,4,E100025,3,1,35.3,105500,Active,False
20230131,E100022,1,1007,4,E100031,4,1,38.1,116500,Active,False
20230131,E100023,1,1000,4,E100006,2,1,33.6,77000,Active,False
20230131,E100024,1,1007,4,E100056,4,1,46.4,124000,Active,False
20230131,E100025,1,1005,4,E100031,6,1,80.4,283000,Active,False
20230131,E100026,1,1006,4,E100123,3,1,43.3,123000,Active,False
20230131,E100027,1,1000,3,E100123,2,1,47.7,55500,Active,False
20230131,E100029,1,1007,3,E100107,4,1,59.1,113000,Active,False
20230131,E100030,1,1002,1,E100102,4,1,56.4,115000,Active,False
20230131,E100033,1,1004,4,E100031,5,1,38.4,160500,Active,False
20230131,E100034,1,1000,4,E100044,2,1,52.1,68000,Active,False
20230131,E100035,1,1003,6,E100078,5,1,99.9,216000,Active,False
20230131,E100036,1,1004,5,E100031,5,1,56.4,93500,Active,False
20230131,E100037,1,1003,2,E100078,5,1,114.4,200000,Active,False
20230131,E100038,1,1003,5,E100078,5,1,71.2,89000,Active,False
20230131,E100039,1,1001,4,E100006,3,1,34.1,94000,Active,False
20230131,E100041,1,1000,1,E100056,2,1,57.3,76500,Active,False
20230131,E100042,1,1001,3,E100113,3,1,87.5,84500,Active,False
20230131,E100043,1,1004,6,E100031,5,1,61.1,152500,Active,False
20230131,E100044,1,1004,6,E100031,5,1,83.5,180000,Active,False
20230131,E100045,1,1004,4,E100031,5,1,41.0,160000,Active,False
20230131,E100046,1,1007,6,E100056,4,1,27.1,108000,Active,False
20230131,E100047,1,1006,6,E100031,3,1,88.8,134000,Active,False
20230131,E100048,1,1007,1,E100006,4,1,68.9,98000,Active,False
20230131,E100049,1,1001,1,E100125,3,1,39.1,87500,Active,False
20230131,E100050,1,1007,4,E100019,4,1,28.6,113500,Active,False
20230131,E100051,1,1006,3,E100124,3,1,44.3,101500,Active,False
20230131,E100052,1,1005,1,E100031,6,1,50.5,237000,Active,False
20230131,E100053,1,1006,2,E100124,3,1,44.0,89500,Active,False
20230131,E100054,1,1004,1,E100031,5,1,35.5,160000,Active,False
20230131,E100055,1,1000,1,E100006,2,1,54.0,73500,Active,False
20230131,E100056,1,1005,1,E100031,6,1,67.3,184500,Active,False
20230131,E100057,1,1003,4,E100033,5,1,37.2,155000,Active,False
20230131,E100058,1,1003,1,E100138,5,1,40.6,139000,Active,False
20230131,E100059,1,1007,4,E100031,4,1,28.3,120500,Active,False
20230131,E100060,1,1001,2,E100054,3,1,28.5,87500,Active,False
20230131,E100061,1,1000,1,E100025,2,1,27.8,58000,Active,False
20230131,E100062,1,1001,2,E000001,3,1,118.0,105500,Active,False
20230131,E100063,1,1001,5,E100056,3,1,47.3,35500,Active,False
20230131,E100064,1,1000,3,E100124,2,1,47.9,57500,Active,False
20230131,E100065,1,1006,1,E100102,3,1,35.2,105000,Active,False
20230131,E100066,1,1001,5,E100078,3,1,113.5,46500,Active,False
20230131,E100067,1,1000,1,E100045,2,1,30.9,76500,Active,False
20230131,E100068,1,1003,2,E100006,5,1,37.5,138500,Active,False
20230131,E100069,1,1005,1,E100031,6,1,87.5,285500,Active,False
20230131,E100070,1,1001,2,E100078,3,1,66.0,96000,Active,False
20230131,E100071,1,1006,1,E100033,3,1,36.0,72000,Active,False
20230131,E100072,1,1001,2,E100075,3,1,45.6,75000,Active,False
20230131,E100073,1,1004,1,E100031,5,1,43.6,197000,Active,False
20230131,E100076,1,1003,2,E100113,5,1,91.6,197500,Active,False
20230131,E100077,1,1002,5,E100031,4,1,43.2,42500,Active,False
20230131,E100078,1,1004,4,E100031,5,1,117.7,217000,Active,False
20230131,E100079,1,1003,4,E100006,5,1,25.9,118500,Active,False
20230131,E100081,1,1001,1,E100006,3,1,25.7,73500,Active,False
20230131,E100082,1,1006,2,E100031,3,1,76.1,72000,Active,False
20230131,E100083,1,1000,1,E100126,2,1,31.1,83000,Active,False
